_index,_type,_id,_score,_source.id,_source.names.en,_source.names.vi,_source.names.fr,_source.types,_source.weight,_source.source,_source.name,_source.indexed,_source.names.de,_source.synonyms.en
profession-test,_doc,senior_analyst,0.043408982,senior_analyst,Senior Analyst,Phân tích viên cao cấp,Analyste sénior,job title,10,category-test,Senior Analyst,1652175102346,,
profession-test,_doc,senior_associate,0.043408982,senior_associate,Senior Associate,Senior Associate,Associé Principal,job title,10,category-test,Senior Associate,1652175102346,,
profession-test,_doc,senior_auditor,0.043408982,senior_auditor,Senior Auditor,Kiểm toán viên lâu năm,Auditeur senior,job title,10,category-test,Senior Auditor,1652175102346,,
profession-test,_doc,senior_business_analyst,0.043408982,senior_business_analyst,Senior Business Analyst,Chuyên viên phân tích kinh doanh cao cấp,Senior Business Analyst,job title,10,category-test,Senior Business Analyst,1652175102346,,
profession-test,_doc,senior_consultant,0.043408982,senior_consultant,Senior Consultant,Cố vấn cấp cao,Consultant senior,job title,10,category-test,Senior Consultant,1652175102346,,
profession-test,_doc,senior_data_analyst,0.043408982,senior_data_analyst,Senior Data Analyst,Chuyên viên phân tích dữ liệu cao cấp,Analyste Senior Data,job title,10,category-test,Senior Data Analyst,1652175102346,,
profession-test,_doc,senior_data_engineer,0.043408982,senior_data_engineer,Senior Data Engineer,Kỹ sư dữ liệu cao cấp,Ingénieur Senior Data,job title,10,category-test,Senior Data Engineer,1652175102346,,
profession-test,_doc,senior_data_scientist,0.043408982,senior_data_scientist,Senior Data Scientist,Dữ liệu nhà khoa học cao cấp,Senior Scientist données,job title,10,category-test,Senior Data Scientist,1652175102346,,
profession-test,_doc,senior_designer,0.043408982,senior_designer,Senior Designer,Nhà thiết kế cao cấp,Designer senior,job title,10,category-test,Senior Designer,1652175102346,,
profession-test,_doc,senior_director,0.043408982,senior_director,Senior Director,Giám đốc cấp cao,Directeur senior,job title,10,category-test,Senior Director,1652175102346,,
profession-test,_doc,senior_dotnet_developer,0.043408982,senior_dotnet_developer,Senior Dotnet Developer,Nhà phát triển Dotnet Senior,Developpeur Dotnet,job title,10,category-test,Senior Dotnet Developer,1652175102346,,
profession-test,_doc,senior_electrical_engineer,0.043408982,senior_electrical_engineer,Senior Electrical Engineer,Kỹ sư điện cao cấp,Ingénieur électricien en chef,job title,10,category-test,Senior Electrical Engineer,1652175102346,,
profession-test,_doc,senior_engineer,0.043408982,senior_engineer,Senior Engineer,Kỹ sư cao cấp,Ingénieur senior,job title,10,category-test,Senior Engineer,1652175102346,,
profession-test,_doc,senior_financial_analyst,0.043408982,senior_financial_analyst,Senior Financial Analyst,Chuyên viên phân tích tài chính cao cấp,Analyste financier,job title,10,category-test,Senior Financial Analyst,1652175102346,,
profession-test,_doc,senior_graphic_designer,0.043408982,senior_graphic_designer,Senior Graphic Designer,Nhà thiết kế đồ họa cao cấp,Graphiste senior,job title,10,category-test,Senior Graphic Designer,1652175102346,,
profession-test,_doc,senior_human_resources_business_partner,0.043408982,senior_human_resources_business_partner,Senior Human Resources Business Partner,Nhân sự Đối tác Kinh doanh Senior,Principal des ressources humaines partenaire,job title,10,category-test,Senior Human Resources Business Partner,1652175102346,,
profession-test,_doc,senior_java_software_engineer,0.043408982,senior_java_software_engineer,Senior Java Software Engineer,Senior Engineer Java Phần mềm,Ingénieur Senior Java Software,job title,10,category-test,Senior Java Software Engineer,1652175102346,,
profession-test,_doc,senior_manager,0.043408982,senior_manager,Senior Manager,Quản lý cấp cao,senior Manager,job title,10,category-test,Senior Manager,1652175102346,,
profession-test,_doc,senior_marketing_manager,0.043408982,senior_marketing_manager,Senior Marketing Manager,quản lý tiếp thị cấp cao,Senior Manager Marketing,job title,10,category-test,Senior Marketing Manager,1652175102346,,
profession-test,_doc,senior_mechanical_engineer,0.043408982,senior_mechanical_engineer,Senior Mechanical Engineer,Kỹ sư cơ khí cao cấp,Ingénieur Senior Mechanical,job title,10,category-test,Senior Mechanical Engineer,1652175102346,,
profession-test,_doc,senior_network_engineer,0.043408982,senior_network_engineer,Senior Network Engineer,Kỹ sư mạng cao cấp,Ingénieur principal de réseau,job title,10,category-test,Senior Network Engineer,1652175102346,,
profession-test,_doc,senior_operations_manager,0.043408982,senior_operations_manager,Senior Operations Manager,Giám đốc vận hành cấp cao,Senior Operations,job title,10,category-test,Senior Operations Manager,1652175102346,,
profession-test,_doc,senior_product_manager,0.043408982,senior_product_manager,Senior Product Manager,Quản lý sản phẩm cao cấp,Senior Product Manager,job title,10,category-test,Senior Product Manager,1652175102346,,
profession-test,_doc,senior_product_marketing_manager,0.043408982,senior_product_marketing_manager,Senior Product Marketing Manager,Giám đốc Marketing Senior Product,Responsable Marketing Senior Product,job title,10,category-test,Senior Product Marketing Manager,1652175102346,,
profession-test,_doc,senior_program_manager,0.043408982,senior_program_manager,Senior Program Manager,Giám đốc chương trình cao cấp,Senior Program Manager,job title,10,category-test,Senior Program Manager,1652175102346,,
profession-test,_doc,senior_project_manager,0.043408982,senior_project_manager,Senior Project Manager,Quản lý dự án cao cấp,Chef de projet senior,job title,10,category-test,Senior Project Manager,1652175102346,,
profession-test,_doc,senior_researcher,0.043408982,senior_researcher,Senior Researcher,Nghiên cứu viên chính,Chercheur principal,job title,10,category-test,Senior Researcher,1652175102346,,
profession-test,_doc,senior_scientist,0.043408982,senior_scientist,Senior Scientist,Nhà khoa học cao cấp,Scientifique senior,job title,10,category-test,Senior Scientist,1652175102346,,
profession-test,_doc,senior_software_engineer,0.043408982,senior_software_engineer,Senior Software Engineer,Kỹ sư phần mềm cao cấp,Ingénieur logiciel senior,job title,10,category-test,Senior Software Engineer,1652175102346,,
profession-test,_doc,senior_system_engineer,0.043408982,senior_system_engineer,Senior System Engineer,Kỹ sư hệ thống cao cấp,Senior System Engineer,job title,10,category-test,Senior System Engineer,1652175102346,,
profession-test,_doc,senior_technical_program_manager,0.043408982,senior_technical_program_manager,Senior Technical Program Manager,Giám đốc chương trình kỹ thuật cao cấp,Directeur principal du programme technique,job title,10,category-test,Senior Technical Program Manager,1652175102346,,
profession-test,_doc,senior_user_experience_designer,0.043408982,senior_user_experience_designer,Senior User Experience Designer,Senior Kinh nghiệm người dùng thiết kế,Expérience utilisateur principal concepteur,job title,10,category-test,Senior User Experience Designer,1652175102346,,
profession-test,_doc,senior_vice_president,0.043408982,senior_vice_president,Senior Vice President,Phó chủ tịch cao cấp,Premier vice-président,job title,10,category-test,Senior Vice President,1652175102346,,
profession-test,_doc,server,0.043408982,server,Server,Phục vụ,Serveur,job title,10,category-test,Server,1652175102346,,
profession-test,_doc,service_advisor,0.043408982,service_advisor,Service Advisor,Tư vấn dịch vụ,Conseiller du service,job title,10,category-test,Service Advisor,1652175102346,,
profession-test,_doc,service_assistant,0.043408982,service_assistant,Service Assistant,Trợ lý dịch vụ,Assistant service,job title,10,category-test,Service Assistant,1652175102346,,
profession-test,_doc,service_associate,0.043408982,service_associate,Service Associate,Phó dịch vụ,Associé de service,job title,10,category-test,Service Associate,1652175102346,,
profession-test,_doc,service_coordinator,0.043408982,service_coordinator,Service Coordinator,Điều phối viên dịch vụ,Coordinateur de services,job title,10,category-test,Service Coordinator,1652175102346,,
profession-test,_doc,service_manager,0.043408982,service_manager,Service Manager,Quản lý dịch vụ,Gestionnaire de services,job title,10,category-test,Service Manager,1652175102346,,
profession-test,_doc,service_representative,0.043408982,service_representative,Service Representative,Đại diện dịch vụ,Représentant de service,job title,10,category-test,Service Representative,1652175102346,,
profession-test,_doc,service_supervisor,0.043408982,service_supervisor,Service Supervisor,dịch vụ Giám sát,superviseur service,job title,10,category-test,Service Supervisor,1652175102346,,
profession-test,_doc,service_technician,0.043408982,service_technician,Service Technician,Kỹ thuật viên,Technicien de service,job title,10,category-test,Service Technician,1652175102346,,
profession-test,_doc,shift_coordinator,0.043408982,shift_coordinator,Shift Coordinator,Điều phối viên thay đổi,Coordinateur Shift,job title,10,category-test,Shift Coordinator,1652175102346,,
profession-test,_doc,shift_lead,0.043408982,shift_lead,Shift Lead,Dẫn đầu sự thay đổi,Lead Shift,job title,10,category-test,Shift Lead,1652175102346,,
profession-test,_doc,shift_manager,0.043408982,shift_manager,Shift Manager,thay đổi quản lý,Chef de quart,job title,10,category-test,Shift Manager,1652175102346,,
profession-test,_doc,shift_supervisor,0.043408982,shift_supervisor,Shift Supervisor,chuyển Supervisor,Chef de quart,job title,10,category-test,Shift Supervisor,1652175102346,,
profession-test,_doc,shopper,0.043408982,shopper,Shopper,Người mua hàng,Client,job title,10,category-test,Shopper,1652175102346,,
profession-test,_doc,site_reliability_engineer,0.043408982,site_reliability_engineer,Site Reliability Engineer,Kỹ sư đảm bảo ổn định hệ thống,Ingénieur Fiabilité du site,job title,10,category-test,Site Reliability Engineer,1652175102346,,
profession-test,_doc,purchase_specialist,0.043408982,purchase_specialist,Purchase Specialist,Chuyên mua,Spécialiste d'achat,job title,10,category-test,Purchase Specialist,1652175102346,,
profession-test,_doc,python_developer,0.043408982,python_developer,Python Developer,Python Developer,développeur Python,job title,10,category-test,Python Developer,1652175102346,,
profession-test,_doc,quality_assurance_analyst,0.043408982,quality_assurance_analyst,Quality Assurance Analyst,Chuyên viên phân tích Đảm bảo chất lượng,Analyste Assurance Qualité,job title,10,category-test,Quality Assurance Analyst,1652175102346,,
profession-test,_doc,quality_assurance_automation_engineer,0.043408982,quality_assurance_automation_engineer,Quality Assurance Automation Engineer,Đảm bảo chất lượng Automation Engineer,Assurance qualité Ingénieur Automatisation,job title,10,category-test,Quality Assurance Automation Engineer,1652175102346,,
profession-test,_doc,quality_assurance_engineer,0.043408982,quality_assurance_engineer,Quality Assurance Engineer,Kỹ sự đảm bảo chất lượng,Ingénieur Assurance Qualité,job title,10,category-test,Quality Assurance Engineer,1652175102346,,
profession-test,_doc,quality_assurance_manager,0.043408982,quality_assurance_manager,Quality Assurance Manager,Quản lý đảm bảo chất lượng,Responsable Assurance Qualité,job title,10,category-test,Quality Assurance Manager,1652175102346,,
profession-test,_doc,quality_assurance_specialist,0.043408982,quality_assurance_specialist,Quality Assurance Specialist,Chuyên Đảm bảo chất lượng,Spécialiste en assurance qualité,job title,10,category-test,Quality Assurance Specialist,1652175102346,,
profession-test,_doc,quality_assurance_tester,0.043408982,quality_assurance_tester,Quality Assurance Tester,Đảm bảo chất lượng Tester,Qualité Assurance Tester,job title,10,category-test,Quality Assurance Tester,1652175102346,,
profession-test,_doc,quality_engineer,0.043408982,quality_engineer,Quality Engineer,Kỹ sư chất lượng,Ingénieur Qualité,job title,10,category-test,Quality Engineer,1652175102346,,
profession-test,_doc,quantitative_analyst,0.043408982,quantitative_analyst,Quantitative Analyst,Chuyên viên phân tích định lượng,Quantitative Analyste,job title,10,category-test,Quantitative Analyst,1652175102346,,
profession-test,_doc,safety_manager,0.043408982,safety_manager,Safety Manager,Quản lý an toàn,Chef de la sécurité,job title,10,category-test,Safety Manager,1652175102346,,
profession-test,_doc,safety_specialist,0.043408982,safety_specialist,Safety Specialist,Chuyên gia an toàn,Spécialiste de la sécurité,job title,10,category-test,Safety Specialist,1652175102346,,
profession-test,_doc,sales_account_executive,0.043408982,sales_account_executive,Sales Account Executive,Điều hành tài khoản bán hàng,Compte de Sales Executive,job title,10,category-test,Sales Account Executive,1652175102346,,
profession-test,_doc,sales_account_manager,0.043408982,sales_account_manager,Sales Account Manager,Quản lý tài khoản bán hàng,Sales Account Manager,job title,10,category-test,Sales Account Manager,1652175102346,,
profession-test,_doc,sales_agent,0.043408982,sales_agent,Sales Agent,Đại lý bán hàng,Agent de ventes,job title,10,category-test,Sales Agent,1652175102346,,
profession-test,_doc,sales_assistant,0.043408982,sales_assistant,Sales Assistant,Trợ lý bán hàng,Assistant des ventes,job title,10,category-test,Sales Assistant,1652175102346,,
profession-test,_doc,sales_consultant,0.043408982,sales_consultant,Sales Consultant,Tư vấn bán hàng,Conseiller des ventes,job title,10,category-test,Sales Consultant,1652175102346,,
profession-test,_doc,sales_coordinator,0.043408982,sales_coordinator,Sales Coordinator,Điều phối viên bán hàng,coordonnateur des ventes,job title,10,category-test,Sales Coordinator,1652175109649,,
profession-test,_doc,sales_development_representative,0.043408982,sales_development_representative,Sales Development Representative,Đại diện phát triển kinh doanh,Représentant des ventes Développement,job title,10,category-test,Sales Development Representative,1652175109649,,
profession-test,_doc,sales_director,0.043408982,sales_director,Sales Director,Giám đốc bán hàng,Directeur des ventes,job title,10,category-test,Sales Director,1652175109649,,
profession-test,_doc,sales_engineer,0.043408982,sales_engineer,Sales Engineer,Kỹ sư bán hàng,Ingénieur commercial,job title,10,category-test,Sales Engineer,1652175109649,,
profession-test,_doc,sales_executive,0.043408982,sales_executive,Sales Executive,Giám đốc bán hàng,Directeur des ventes,job title,10,category-test,Sales Executive,1652175109649,,
profession-test,_doc,sales_floor_associate,0.043408982,sales_floor_associate,Sales Floor Associate,Tầng Sales Associate,Sales Associate au sol,job title,10,category-test,Sales Floor Associate,1652175109649,,
profession-test,_doc,sales_lead,0.043408982,sales_lead,Sales Lead,Trưởng nhóm bán hàng,Direction des ventes,job title,10,category-test,Sales Lead,1652175109649,,
profession-test,_doc,sales_manager,0.043408982,sales_manager,Sales Manager,Quản lý kinh doanh,Directeur commercial,job title,10,category-test,Sales Manager,1652175109649,,
profession-test,_doc,sales_operations_analyst,0.043408982,sales_operations_analyst,Sales Operations Analyst,Chuyên viên phân tích Hoạt động bán hàng,Opérations de vente Analyste,job title,10,category-test,Sales Operations Analyst,1652175109649,,
profession-test,_doc,sales_operations_manager,0.043408982,sales_operations_manager,Sales Operations Manager,Sales Operations Manager,Opérations Sales Manager,job title,10,category-test,Sales Operations Manager,1652175109649,,
profession-test,_doc,sales_specialist,0.043408982,sales_specialist,Sales Specialist,Chuyên viên bán hàng,Specialiste en Ventes,job title,10,category-test,Sales Specialist,1652175109649,,
profession-test,_doc,sales_support_specialist,0.043408982,sales_support_specialist,Sales Support Specialist,Chuyên viên Hỗ trợ Bán hàng,Spécialiste des ventes de soutien,job title,10,category-test,Sales Support Specialist,1652175109649,,
profession-test,_doc,salesforce_administrator,0.043408982,salesforce_administrator,Salesforce Administrator,Salesforce Quản trị viên,Salesforce Administrator,job title,10,category-test,Salesforce Administrator,1652175109649,,
profession-test,_doc,salesforce_developer,0.043408982,salesforce_developer,Salesforce Developer,Salesforce cho nhà phát triển,Salesforce Developer,job title,10,category-test,Salesforce Developer,1652175109649,,
profession-test,_doc,salesperson,0.043408982,salesperson,Salesperson,Nhân viên bán hàng,Vendeur,job title,10,category-test,Salesperson,1652175109649,,
profession-test,_doc,salon_manager,0.043408982,salon_manager,Salon Manager,Salon Quản lý,Gestionnaire de Salon,job title,10,category-test,Salon Manager,1652175109649,,
profession-test,_doc,sandwich_maker,0.043408982,sandwich_maker,Sandwich Maker,Sandwich maker,Préparateur de sandwich,job title,10,category-test,Sandwich Maker,1652175109649,,
profession-test,_doc,sap_specialist,0.043408982,sap_specialist,SAP Specialist,Chuyên SAP,Spécialiste SAP,job title,10,category-test,SAP Specialist,1652175109649,,
profession-test,_doc,scheduler,0.043408982,scheduler,Scheduler,Lập lịch biểu,Planificateur,job title,10,category-test,Scheduler,1652175109649,,
profession-test,_doc,school_psychologist,0.043408982,school_psychologist,School Psychologist,trường Nhà tâm lý học,Psychologue scolaire,job title,10,category-test,School Psychologist,1652175109649,,
profession-test,_doc,scientist,0.043408982,scientist,Scientist,Nhà khoa học,Scientifique,job title,10,category-test,Scientist,1652175109649,,
profession-test,_doc,scrum_master,0.043408982,scrum_master,Scrum Master,Scrum Master,Scrum master,job title,10,category-test,Scrum Master,1652175109649,,
profession-test,_doc,porter,0.043408982,porter,Porter,nhân viên khuân vác,Porter,job title,10,category-test,Porter,1652175109649,,
profession-test,_doc,portfolio_manager,0.043408982,portfolio_manager,Portfolio Manager,Quản lý danh mục đầu tư,Gestionnaire de portefeuille,job title,10,category-test,Portfolio Manager,1652175109649,,
profession-test,_doc,postdoctoral_researcher,0.043408982,postdoctoral_researcher,Postdoctoral Researcher,Nhà nghiên cứu sau tiến sĩ,Postdoctorant,job title,10,category-test,Postdoctoral Researcher,1652175109649,,
profession-test,_doc,prep_cook,0.043408982,prep_cook,Prep Cook,Chuẩn bị nấu ăn,préparation cuire,job title,10,category-test,Prep Cook,1652175109649,,
profession-test,_doc,president,0.043408982,president,President,Chủ tịch,Président,job title,10,category-test,President,1652175109649,,
profession-test,_doc,principal_software_engineer,0.043408982,principal_software_engineer,Principal Software Engineer,Kỹ sư phần mềm chính,Ingénieur logiciel principal,job title,10,category-test,Principal Software Engineer,1652175109649,,
profession-test,_doc,private_equity_associate,0.043408982,private_equity_associate,Private Equity Associate,Private Equity Associate,Associé Private Equity,job title,10,category-test,Private Equity Associate,1652175109649,,
profession-test,_doc,prn_nurse,0.043408982,prn_nurse,PRN Nurse,PRN Y tá,infirmière PRN,job title,10,category-test,PRN Nurse,1652175109649,,
profession-test,_doc,software_developer_in_test,0.043408982,software_developer_in_test,Software Developer In Test,Software Developer Trong thử nghiệm,Développeur de logiciels Dans l'essai,job title,10,category-test,Software Developer In Test,1652175109649,,
profession-test,_doc,software_engineer,0.043408982,software_engineer,Software Engineer,Kỹ sư phần mềm,Ingénieur logiciel,job title,10,category-test,Software Engineer,1652175109649,,
profession-test,_doc,software_engineer_intern,0.043408982,software_engineer_intern,Software Engineer Intern,Kỹ sư phần mềm thực tập,Stagiaire Ingénieur Logiciel,job title,10,category-test,Software Engineer Intern,1652175109649,,
profession-test,_doc,software_engineering_manager,0.043408982,software_engineering_manager,Software Engineering Manager,Quản lý Kỹ sư Phần mềm,Directeur de l'ingénierie logiciel ,job title,10,category-test,Software Engineering Manager,1652175109649,,
profession-test,_doc,social_media_coordinator,0.043408982,social_media_coordinator,Social Media Coordinator,Điều phối viên truyền thông xã hội,Coordinateur médias sociaux,job title,10,category-test,Social Media Coordinator,1652175109649,,
profession-test,_doc,social_media_manager,0.043408982,social_media_manager,Social Media Manager,Quản lý phương tiện truyền thông xã hội,Social Media Manager,job title,10,category-test,Social Media Manager,1652175109649,,
profession-test,_doc,social_media_marketing_specialist,0.043408982,social_media_marketing_specialist,Social Media Marketing Specialist,Chuyên gia xã hội Truyền thông tiếp thị,Spécialiste du marketing des médias sociaux,job title,10,category-test,Social Media Marketing Specialist,1652175109649,,
profession-test,_doc,social_worker,0.043408982,social_worker,Social Worker,Nhân viên xã hội,Travailleur social,job title,10,category-test,Social Worker,1652175109649,,
profession-test,_doc,stock_associate,0.043408982,stock_associate,Stock Associate,cổ Associate,Stock associé,job title,10,category-test,Stock Associate,1652175109649,,
profession-test,_doc,stock_clerk,0.043408982,stock_clerk,Stock Clerk,Clerk chứng khoán,Magasinier,job title,10,category-test,Stock Clerk,1652175109649,,
profession-test,_doc,stocker,0.043408982,stocker,Stocker,Stocker,Stocker,job title,10,category-test,Stocker,1652175109649,,
profession-test,_doc,store_assistant,0.043408982,store_assistant,Store Assistant,cửa hàng Assistant,assistant Store,job title,10,category-test,Store Assistant,1652175109649,,
profession-test,_doc,store_associate,0.043408982,store_associate,Store Associate,Cửa hàng sư,Associé de magasin,job title,10,category-test,Store Associate,1652175109649,,
profession-test,_doc,store_manager,0.043408982,store_manager,Store Manager,Quản lý cửa hàng,Gérant de magasin,job title,10,category-test,Store Manager,1652175109649,,
profession-test,_doc,strategic_account_manager,0.043408982,strategic_account_manager,Strategic Account Manager,Account Manager chiến lược,Gestionnaire de compte stratégique,job title,10,category-test,Strategic Account Manager,1652175109649,,
profession-test,_doc,strategist,0.043408982,strategist,Strategist,Chiến lược gia,Stratège,job title,10,category-test,Strategist,1652175109649,,
profession-test,_doc,strategy_analyst,0.043408982,strategy_analyst,Strategy Analyst,chiến lược phân tích,analyste stratégie,job title,10,category-test,Strategy Analyst,1652175109649,,
profession-test,_doc,strategy_director,0.043408982,strategy_director,Strategy Director,Giám đốc chiến lược,Directeur de la stratégie,job title,10,category-test,Strategy Director,1652175109649,,
profession-test,_doc,strategy_manager,0.043408982,strategy_manager,Strategy Manager,chiến lược quản lý,Directeur de la stratégie,job title,10,category-test,Strategy Manager,1652175109649,,
profession-test,_doc,structural_engineer,0.043408982,structural_engineer,Structural Engineer,Kỹ sư kết cấu,Ingénieur en structure,job title,10,category-test,Structural Engineer,1652175109649,,
profession-test,_doc,stylist,0.043408982,stylist,Stylist,Nhà tạo mẫu,Styliste,job title,10,category-test,Stylist,1652175109649,,
profession-test,_doc,superintendent,0.043408982,superintendent,Superintendent,người quản lý,surveillant général,job title,10,category-test,Superintendent,1652175109649,,
profession-test,_doc,supervisor,0.043408982,supervisor,Supervisor,Người giám sát,Superviseur,job title,10,category-test,Supervisor,1652175109649,,
profession-test,_doc,supply_chain_analyst,0.043408982,supply_chain_analyst,Supply Chain Analyst,Nhà phân tích chuỗi cung ứng,Supply Chain Analyst,job title,10,category-test,Supply Chain Analyst,1652175109649,,
profession-test,_doc,supply_chain_director,0.043408982,supply_chain_director,Supply Chain Director,Giám đốc chuỗi cung ứng,Directeur Supply Chain,job title,10,category-test,Supply Chain Director,1652175109649,,
profession-test,_doc,supply_chain_manager,0.043408982,supply_chain_manager,Supply Chain Manager,Giám đốc chuỗi cung ứng,Gestionnaire de la chaine d'approvisionnement,job title,10,category-test,Supply Chain Manager,1652175109649,,
profession-test,_doc,supply_chain_specialist,0.043408982,supply_chain_specialist,Supply Chain Specialist,Chuyên gia chuỗi cung ứng,spécialité en logistique,job title,10,category-test,Supply Chain Specialist,1652175109649,,
profession-test,_doc,support_associate,0.043408982,support_associate,Support Associate,hỗ trợ Associate,soutien associé,job title,10,category-test,Support Associate,1652175109649,,
profession-test,_doc,support_engineer,0.043408982,support_engineer,Support Engineer,Kỹ sư hỗ trợ,Ingénieur support,job title,10,category-test,Support Engineer,1652175109649,,
profession-test,_doc,support_specialist,0.043408982,support_specialist,Support Specialist,Chuyên viên hỗ trợ,Spécialiste de soutien,job title,10,category-test,Support Specialist,1652175109649,,
profession-test,_doc,surgical_nurse,0.043408982,surgical_nurse,Surgical Nurse,Surgical Nurse,infirmière chirurgicale,job title,10,category-test,Surgical Nurse,1652175109649,,
profession-test,_doc,hairstylist,0.043408982,hairstylist,Hairstylist,Nhà tạo mẫu tóc,Coiffeur,job title,10,category-test,Hairstylist,1652175109649,,
profession-test,_doc,head_of_marketing,0.043408982,head_of_marketing,Head Of Marketing,Trưởng phòng Marketing,Directeur du marketing,job title,10,category-test,Head Of Marketing,1652175109649,,
